lexeme	ambiguous	mode	model	score
군기	0	weighted	w2v	0.0
교회	0	weighted	w2v	0.0
잡초	0	weighted	w2v	33.3333
노상	0	weighted	w2v	50.0
쌍방	0	weighted	w2v	40.0
미소	1	weighted	w2v	50.0
법인	0	weighted	w2v	57.1429
안정	1	weighted	w2v	62.5
주총	0	weighted	w2v	66.6667
해이	0	weighted	w2v	70.0
반입	0	weighted	w2v	63.6364
선주	0	weighted	w2v	58.3333
노임	0	weighted	w2v	53.8462
익명	0	weighted	w2v	50.0
오피스텔	0	weighted	w2v	46.6667
루터	0	weighted	w2v	43.75
식구	1	weighted	w2v	47.0588
두바이	0	weighted	w2v	44.4444
특검	0	weighted	w2v	42.1053
건	0	weighted	w2v	40.0
감산	0	weighted	w2v	42.8571
차제	0	weighted	w2v	45.4545
튀니지	0	weighted	w2v	43.4783
유죄	1	weighted	w2v	45.8333
승소	0	weighted	w2v	44.0
캔버스	0	weighted	w2v	42.3077
워싱턴	0	weighted	w2v	44.4444
떡	0	weighted	w2v	42.8571
파악	1	weighted	w2v	41.3793
조문	0	weighted	w2v	40.0
필치	0	weighted	w2v	38.7097
덕목	0	weighted	w2v	40.625
번역	0	weighted	w2v	42.4242
인사	1	weighted	w2v	41.1765
적대	0	weighted	w2v	40.0
비결	0	weighted	w2v	38.8889
용액	0	weighted	w2v	37.8378
갈	0	weighted	w2v	36.8421
명단	0	weighted	w2v	38.4615
일괄	0	weighted	w2v	37.5
종가	0	weighted	w2v	39.0244
영구	0	weighted	w2v	38.0952
이달	0	weighted	w2v	39.5349
하사	0	weighted	w2v	38.6364
의혹	0	weighted	w2v	37.7778
욕구	0	weighted	w2v	36.9565
강단	0	weighted	w2v	38.2979
컬링	0	weighted	w2v	37.5
우후죽순	0	weighted	w2v	38.7755
인지	0	weighted	w2v	38.0
예능	0	weighted	w2v	39.2157
슬픔	0	weighted	w2v	38.4615
획득	0	weighted	w2v	39.6226
캄보디아	0	weighted	w2v	38.8889
검정	1	weighted	w2v	38.1818
화학	0	weighted	w2v	37.5
선교	1	weighted	w2v	38.5965
타수	0	weighted	w2v	37.931
공사	1	weighted	w2v	38.9831
각별	0	weighted	w2v	38.3333
군경	0	weighted	w2v	37.7049
대비	1	weighted	w2v	38.7097
우리	0	weighted	w2v	38.0952
미대	0	weighted	w2v	37.5
전형	0	weighted	w2v	36.9231
의전	0	weighted	w2v	36.3636
인간다움	0	weighted	w2v	37.3134
역할	1	weighted	w2v	38.2353
몰골	0	weighted	w2v	37.6812
소결	0	weighted	w2v	37.1429
키	1	weighted	w2v	38.0282
아수라	0	weighted	w2v	37.5
본격	0	weighted	w2v	36.9863
탈당	0	weighted	w2v	36.4865
제자	0	weighted	w2v	36.0
불화	0	weighted	w2v	35.5263
다롄	0	weighted	w2v	36.3636
상담	0	weighted	w2v	35.8974
반문	0	weighted	w2v	36.7089
순례	1	weighted	w2v	36.25
전기	0	weighted	w2v	37.037
초점	1	weighted	w2v	37.8049
에너지	1	weighted	w2v	37.3494
예시	0	weighted	w2v	36.9048
기타	1	weighted	w2v	36.4706
벨기에	0	weighted	w2v	37.2093
홈	0	weighted	w2v	37.931
야	0	weighted	w2v	37.5
생강	0	weighted	w2v	37.0787
일대	0	weighted	w2v	37.7778
차단	1	weighted	w2v	38.4615
향응	0	weighted	w2v	39.1304
밖	1	weighted	w2v	39.7849
백방	0	weighted	w2v	39.3617
명	0	weighted	w2v	38.9474
전구	0	weighted	w2v	38.5417
소지	1	weighted	w2v	39.1753
전방	0	weighted	w2v	39.7959
비서	1	weighted	w2v	40.404
전지	1	weighted	w2v	40.0
함선	0	weighted	w2v	39.604
도심	0	weighted	w2v	39.2157
편지	0	weighted	w2v	39.8058
에스토니아	0	weighted	w2v	40.3846
영사	0	weighted	w2v	40.0
원폭	0	weighted	w2v	40.566
리시브	0	weighted	w2v	40.1869
전집	0	weighted	w2v	39.8148
특보	0	weighted	w2v	40.367
갈망	0	weighted	w2v	40.9091
호흡	1	weighted	w2v	40.5405
과반	1	weighted	w2v	41.0714
검토	1	weighted	w2v	41.5929
전철	0	weighted	w2v	41.2281
장담	0	weighted	w2v	40.8696
포메이션	0	weighted	w2v	40.5172
해법	1	weighted	w2v	41.0256
억제	0	weighted	w2v	40.678
의중	0	weighted	w2v	40.3361
현혹	0	weighted	w2v	40.8333
곤혹	0	weighted	w2v	41.3223
동의	1	weighted	w2v	40.9836
국과수	0	weighted	w2v	40.6504
퇴임	0	weighted	w2v	40.3226
리콜	0	weighted	w2v	40.0
바이오시밀러	0	weighted	w2v	39.6825
편입	0	weighted	w2v	39.3701
사안	1	weighted	w2v	39.8438
부업	0	weighted	w2v	39.5349
